City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
189,south hedland,-20.4089,118.5983,26.96,34,40,2.57,AU,1690428061
190,keyser,39.4409,-78.9739,27.08,92,43,1.62,US,1690428062
191,kulhudhuffushi,6.6221,73.07,28.12,70,98,2.29,MV,1690428062
192,midvagur,62.0511,-7.1939,8.46,81,100,4.12,FO,1690428063
193,atafu village,-8.5421,-172.5159,28.54,75,100,8.03,TK,1690428063
194,punta arenas,-53.15,-70.9167,-0.83,79,22,3.64,CL,1690428064
195,tibiri,13.5627,7.0485,30.15,53,100,7.26,NE,1690428049
196,saipan,15.1355,145.701,28.39,100,75,5.14,MP,1690428064
197,balqash,46.8481,74.995,30.33,28,40,1.0,KZ,1690427826
198,kavieng,-2.5744,150.7967,29.17,74,63,4.14,PG,1690428064
199,al qadarif,14.0349,35.3834,22.63,88,100,3.02,SD,1690428065
200,bayan,46.0833,127.4,28.37,72,76,7.18,CN,1690428065
201,badger,64.8,-147.5333,29.73,49,75,0.0,US,1690428065
202,oriximina,-1.7656,-55.8661,27.35,61,45,1.26,BR,1690427889
203,anjiang,27.3194,110.1031,30.41,71,87,1.21,CN,1690428066
204,chabahar,25.2919,60.643,28.0,84,95,3.61,IR,1690428071
205,isafjordur,66.0755,-23.124,6.85,88,98,5.29,IS,1690428071
206,farasan,16.7022,42.1183,31.57,72,31,5.69,SA,1690428071
207,kodinsk,58.6881,99.1844,25.05,53,16,2.09,RU,1690428060
208,jackson,42.4165,-122.8345,29.93,26,0,6.69,US,1690427999
209,ancud,-41.8697,-73.8203,7.98,92,100,2.82,CL,1690428073
210,tolanaro,-25.0319,46.9987,19.27,57,88,5.07,MG,1690428073
211,ulladulla,-35.35,150.4667,20.63,30,0,2.8,AU,1690427987
212,sorong,-0.8833,131.25,28.91,71,32,5.78,ID,1690428074
213,saldanha,-33.0117,17.9442,12.62,90,95,4.87,ZA,1690428074
214,paralimni,35.0375,33.9833,25.64,83,0,1.34,CY,1690428074
215,puerto colombia,10.9878,-74.9547,27.05,88,97,3.56,CO,1690428075
216,valparaiso,-33.0393,-71.6273,15.0,64,0,1.03,CL,1690428075
217,dipayal,29.2608,80.94,28.99,81,100,0.74,NP,1690428049
218,kruisfontein,-34.0033,24.7314,9.38,88,64,3.16,ZA,1690428060
219,tecolotlan,20.2167,-104.05,21.12,82,100,0.88,MX,1690428076
220,florence,43.7667,11.25,19.61,92,0,0.51,IT,1690427970
221,adam,22.3756,57.5233,27.38,67,65,3.31,OM,1690428076
222,hamilton,39.1834,-84.5333,28.56,74,0,7.72,US,1690427846
223,remire-montjoly,4.9167,-52.2667,25.02,94,72,0.0,GF,1690428077
224,goundam,16.4145,-3.6708,33.63,35,95,4.71,ML,1690428077
225,cao lanh,10.45,105.6333,28.97,69,100,5.94,VN,1690428055
226,uliastay,47.7417,96.8444,23.55,23,88,1.42,MN,1690428049
227,kapuskasing,49.4169,-82.4331,17.05,94,75,1.03,CA,1690428078
228,xining,36.6167,101.7667,16.04,78,100,1.29,CN,1690427991
229,ulsteinvik,62.3432,5.8487,16.06,93,98,1.34,NO,1690428078
230,arenapolis,-14.4503,-56.8461,22.75,44,7,1.27,BR,1690428079
231,porto novo,6.4965,2.6036,25.9,94,97,2.26,BJ,1690427913
232,zoucheng,35.4006,116.9656,31.51,58,9,2.45,CN,1690428079
233,chonchi,-42.6128,-73.8092,7.84,99,100,1.27,CL,1690428079
234,puerto baquerizo moreno,-0.9,-89.6,24.02,80,90,5.59,EC,1690428080
235,white rock,49.0164,-122.8026,22.11,71,59,2.68,CA,1690428080
236,herkimer,43.0256,-74.986,24.24,85,100,3.0,US,1690428081
237,mbanza-ngungu,-5.25,14.8667,18.66,80,4,1.75,CD,1690427963
238,kiunga,-6.1219,141.2906,28.33,68,94,0.99,PG,1690428081
239,kitui,-1.367,38.0106,16.05,85,99,2.92,KE,1690428082
240,bam,29.106,58.357,33.45,11,28,5.91,IR,1690428083
241,hasaki,35.7333,140.8333,39.05,72,14,5.05,JP,1690428083
242,jaguarari,-10.2639,-40.1958,17.4,86,24,3.71,BR,1690427891
243,lerwick,60.1545,-1.1494,9.0,87,0,0.88,GB,1690428083
244,san luis de la loma,17.2706,-100.8939,27.52,82,63,2.98,MX,1690428084
245,acarau,-2.8856,-40.12,25.49,84,11,6.91,BR,1690428084
246,fortuna,40.5982,-124.1573,17.17,80,0,5.14,US,1690428084
247,cuajinicuilapa,16.4667,-98.4167,26.5,82,57,1.49,MX,1690428085
248,kirensk,57.7853,108.1119,25.4,59,91,1.72,RU,1690428085
249,tomatlan,19.9333,-105.25,26.22,82,95,0.89,MX,1690428085
250,mil'kovo,55.6078,37.7956,17.27,87,73,1.23,RU,1690428086
251,geraldton,-28.7667,114.6,15.23,77,100,1.54,AU,1690427905
252,minas de marcona,-15.2119,-75.1103,12.24,87,48,4.9,PE,1690428086
253,whakatane,-37.9585,176.9854,12.65,87,100,1.62,NZ,1690427842
254,fruita,39.1589,-108.729,31.64,28,0,4.63,US,1690428087
255,champerico,14.3,-91.9167,28.74,72,16,1.97,GT,1690428087
256,kharp,66.8014,65.8081,16.73,88,99,1.97,RU,1690428087
257,luorong,24.4058,109.6086,33.37,61,74,3.8,CN,1690428088
258,tarazona,41.9,-1.7333,14.9,70,0,0.45,ES,1690428088
259,la gi,10.6667,107.7833,28.26,80,100,6.25,VN,1690428089
260,conceicao da barra,-18.5933,-39.7322,19.76,84,3,0.59,BR,1690428089
261,soio,-6.1349,12.3689,20.68,91,5,2.56,AO,1690428089
262,novodvinsk,64.4165,40.8122,14.87,87,100,1.49,RU,1690428090
263,port douglas,-16.4833,145.4667,23.47,68,44,6.94,AU,1690428090
264,cancun,21.1743,-86.8466,30.03,79,40,2.06,MX,1690428001
265,tikhvin,59.6451,33.5294,14.56,99,51,1.97,RU,1690428090
266,ingeniero jacobacci,-41.3427,-69.5448,0.89,85,100,1.2,AR,1690428091
267,mirny,62.5353,113.9611,21.8,49,11,4.92,RU,1690428091
268,pestravka,52.405,49.9583,23.48,54,0,4.11,RU,1690428091
269,karratha,-20.7377,116.8463,22.38,49,96,6.19,AU,1690428092
270,beau vallon,-20.4189,57.6953,19.13,94,40,2.57,MU,1690428092
